time,value
2019-10-01,99.1216
2019-11-01,99.12805
2019-12-01,99.11515
2020-01-01,99.05475
2020-02-01,98.93591
2020-03-01,97.10474
2020-04-01,92.25338
2020-05-01,93.82266
2020-06-01,95.74355
2020-07-01,97.34548
2020-08-01,98.01513
2020-09-01,98.28763
2020-10-01,98.63333
2020-11-01,99.0183
2020-12-01,99.42415
2021-01-01,99.78373
2021-02-01,100.1439
2021-03-01,100.4495
2021-04-01,100.6902
2021-05-01,100.7299
2021-06-01,100.7001
2021-07-01,100.619
2021-08-01,100.5163
2021-09-01,100.4246
2021-10-01,100.3465
2021-11-01,100.2753
2021-12-01,100.1929
2022-01-01,100.0882
2022-02-01,99.96445
2022-03-01,99.82504
2022-04-01,99.67831
2022-05-01,99.52129
2022-06-01,99.3638
